         78736 function calls (78717 primitive calls) in 5.235 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.006    0.006    5.235    5.235 request.py:1(<module>)
      100    0.001    0.000    5.219    0.052 request.py:8(SelectCorpusBar)
      100    0.001    0.000    5.155    0.052 httplib.py:1009(getresponse)
      100    0.003    0.000    5.153    0.052 httplib.py:402(begin)
      600    0.054    0.000    5.130    0.009 socket.py:406(readline)
    14000    5.069    0.000    5.069    0.000 {method 'recv' of '_socket.socket' objects}
      100    0.002    0.000    5.055    0.051 httplib.py:363(_read_status)
      100    0.001    0.000    0.093    0.001 mimetools.py:24(__init__)
      100    0.000    0.000    0.089    0.001 rfc822.py:88(__init__)
      100    0.006    0.000    0.088    0.001 httplib.py:234(readheaders)
      100    0.000    0.000    0.042    0.000 httplib.py:971(request)
      100    0.002    0.000    0.042    0.000 httplib.py:992(_send_request)
      100    0.000    0.000    0.034    0.000 httplib.py:956(endheaders)
      100    0.001    0.000    0.034    0.000 httplib.py:814(_send_output)
      100    0.001    0.000    0.033    0.000 httplib.py:787(send)
      100    0.001    0.000    0.027    0.000 httplib.py:769(connect)
      100    0.002    0.000    0.027    0.000 socket.py:537(create_connection)
      100    0.001    0.000    0.020    0.000 httplib.py:534(read)
      100    0.001    0.000    0.018    0.000 httplib.py:637(_safe_read)
      100    0.001    0.000    0.017    0.000 socket.py:336(read)
      200    0.001    0.000    0.014    0.000 socket.py:223(meth)
      100    0.011    0.000    0.011    0.000 {_socket.getaddrinfo}
    14500    0.010    0.000    0.010    0.000 {method 'write' of 'cStringIO.StringO' objects}
      100    0.010    0.000    0.010    0.000 {method 'connect' of '_socket.socket' objects}
        1    0.001    0.001    0.009    0.009 httplib.py:67(<module>)
    14400    0.008    0.000    0.008    0.000 {method 'find' of 'str' objects}
      100    0.002    0.000    0.005    0.000 httplib.py:835(putrequest)
      100    0.003    0.000    0.004    0.000 socket.py:185(__init__)
        1    0.001    0.001    0.004    0.004 urlparse.py:29(<module>)
